entity,code,month,_2025,_2024,_2023,_2022,_2021,_2020,_2019,_2018,_2017,_2016,_2015,_2014,_2013,_2012,_2011,_2010,_2009,_2008,_2007,_2006,_2005,_2004,_2003,_2002,_2001,_2000,_1999,_1998,_1997,_1996,_1995,_1994,_1993,_1992,_1991,_1990,_1989,_1988,_1987,_1986,_1985,_1984,_1983,_1982,_1981,_1980,_1979
Africa (NIAID),,11,0.7135544,0.62670326,1.3625336,0.06347656,1.2925301,0.27042198,0.90634537,0.706974,-0.08773613,0.9554138,0.25925064,0.26460457,0.40247917,0.7054539,-0.42066383,0.7728653,-0.09121513,-0.054496765,0.07664108,-0.5774975,0.1436615,0.059057236,0.35875893,-0.15242004,-0.23199272,-0.42690086,-0.2448368,-0.13759804,-0.07013893,-0.8389263,-0.46372414,-0.52217484,0.09280777,-1.0292015,-0.62517357,0.45565987,-0.1294365,-0.65169525,0.17754745,-1.1158066,-0.2889309,-0.8111229,-0.07944298,-1.5736141,-0.95503235,-0.54816055,-0.68681145
Africa (NIAID),,12,0.49506187,0.7446232,0.9826584,0.9679127,0.7417278,1.007307,0.51472473,0.3753662,0.3083992,0.7300453,-0.10679245,0.104665756,-0.14377785,-0.043798447,-0.58089066,0.49273872,0.8020649,0.2207241,-0.3110447,-0.6563759,0.5755539,0.1934452,-0.066179276,0.20742226,0.41762733,-0.35538483,-0.6540489,-0.25842094,-0.27030182,-0.12704277,-0.08997345,-0.7675152,0.036474228,-0.5205002,-1.0345097,0.3829155,0.09256363,-1.0789604,0.44412804,-1.2857571,-0.8759403,-0.9182205,-0.6253071,-1.0696678,-0.08004379,-1.0934315,-1.095293
Albania,ALB,1,3.3362508,1.8848195,2.3982005,-0.22114086,1.3567247,0.45296478,-1.9452744,1.7484488,-3.0122817,0.7879522,0.16979456,3.2033267,1.1205025,-2.4446497,0.056261063,0.6990154,0.9497237,0.38172507,1.9034715,-2.6584637,-0.7782755,-1.3253775,1.68924,-1.7702549,2.544849,-4.3588443,0.10406685,1.6316304,1.9595704,0.9291897,-0.43526316,1.9622374,-1.6459365,-1.04772,-0.87162805,-0.75694776,-0.98013806,2.790534,-0.021772861,0.5455611,-0.9949932,1.0354791,-0.1732676,0.6170583,-2.9140596,-2.0803518,-1.6520352
Albania,ALB,2,0.97397566,3.7711568,0.27157545,1.0064821,1.7668457,1.8424406,0.9451704,0.6970277,2.5946145,4.6363053,-0.3864479,3.2869205,0.91433334,-2.7246919,0.3893957,0.3472867,-1.2412364,0.1663208,1.7621579,-1.5588195,-3.0328608,-0.26120806,-4.5806136,2.6095142,0.6107793,-0.6279731,-2.4132004,1.5495353,0.7093253,-1.3034906,2.112265,0.03381729,-2.632412,-2.260198,-2.1840482,1.9178267,1.1773963,-0.034801006,0.8577571,-0.29895926,-2.750924,0.22567797,-2.5088406,-1.4985845,-1.1536798,-0.2726307,1.2482347
Albania,ALB,3,2.4437747,2.309382,1.19171,-2.3261204,-1.1255593,0.9245105,2.1855054,0.95655775,2.4585538,0.7494817,-0.18050814,1.2830768,0.701859,0.8972993,-0.07254267,-0.31489277,-1.215024,0.55015373,0.96023893,-0.8999033,-1.1950493,-0.5191622,-1.455781,1.6807628,3.0064607,-1.8575268,-0.51049614,-2.4879212,-0.68385935,-3.4770577,-1.2277207,1.6090512,-2.416122,-0.9512048,1.5012603,2.0525165,2.0718713,-1.5013185,-4.979088,0.63901854,-0.4396,-1.3363576,0.022467136,-1.417449,1.2533641,-0.698524,0.7771573
Albania,ALB,4,0.63690853,2.4055529,-1.2097473,-0.1650362,-1.4691687,0.0050182343,0.6725035,3.8750124,0.00995636,2.6906834,-0.41866112,-0.18769836,1.837964,0.1943655,0.43348885,0.78997993,0.90335846,-0.15789413,0.86765957,0.58603,-0.8907137,0.62578106,-1.6576319,-0.2225895,-1.2135954,1.3838501,-0.20649815,0.46102428,-4.6033735,-0.9999409,-1.8844051,-0.14547443,-0.50472736,-0.47627735,-1.7672081,-0.38155174,1.351201,-0.43550777,-0.92500305,0.73718643,0.3056898,-1.4675655,0.673892,-1.3645763,-0.048350334,-2.3641815,-1.9624968
Albania,ALB,5,-0.53110695,0.79065514,-0.23644543,1.2884502,0.19941902,0.35605812,-2.190199,1.861414,0.016798973,-0.9395914,1.1821976,-1.1437454,0.764122,-0.4592657,-0.5249424,-0.261652,1.1359997,0.07386494,0.7075958,-0.028176308,0.4130268,-2.3332624,2.533327,0.12864208,0.79131126,1.1530304,1.0231247,-0.47514248,0.28049374,0.4908676,-1.2564697,0.7434044,0.09296608,-0.5904312,-3.5453815,-0.47606564,-1.6697788,0.32925606,-2.337533,0.8543625,0.91628456,-0.45969772,0.2576046,-0.05559826,-1.434824,-2.7053213,-0.5000124
Albania,ALB,6,2.8458328,3.0539494,0.07921982,2.446638,0.7876377,-1.3006859,1.6083927,-0.12966156,1.6885166,0.59654427,-0.3202839,-0.5063839,-0.53331184,1.8088837,-0.15854454,-0.6237259,-0.9219761,0.034431458,1.1096802,-0.9301586,-1.1435432,-0.5839462,2.454321,0.66841316,-1.0753441,0.56168556,0.3925171,0.38365364,0.6871376,0.27024078,-0.844162,-0.6692257,0.009023666,-1.8861446,-0.64635086,-1.0329628,-2.9050255,-1.2615128,-1.2228909,-1.1357365,-1.2677689,-1.7641888,-2.2176266,0.53692436,0.2679386,-1.9118042,-0.1201458
Albania,ALB,7,2.0212727,2.940773,2.23814,1.5932674,1.6589909,0.34908676,0.11463928,-0.19316292,1.5008907,0.54315186,2.186121,-1.4072762,-0.15751839,2.3155155,-0.44374847,-0.36361313,-0.027267456,-0.11217308,1.51301,-0.43457222,-0.44352913,-0.37376595,0.9313545,-0.021867752,-0.05974388,-0.45514488,-0.25571442,0.52269936,-0.9050865,-0.83345795,0.14865112,0.44109535,-1.0300179,-1.5517426,-1.4967995,-0.26208115,-1.3740807,2.1477184,0.90309525,-1.7103977,-0.14317131,-1.4223213,-0.5093441,-0.877018,-1.9836807,-1.5248127,-1.6212292
Albania,ALB,8,0.58592606,2.3449173,0.35898018,0.3658371,1.456749,0.5327358,1.427393,0.18336868,1.7008038,-0.43899155,0.80327606,-0.49346542,0.70142937,1.2193317,0.5257206,0.4189663,0.20970535,0.49378395,0.47021675,-1.5807781,-2.0054893,-1.6448994,1.4702568,-2.0512047,0.82299614,0.34263992,0.5595226,1.1406689,-2.139822,-0.81557465,-2.4683056,0.8693962,0.3239746,1.1050873,-1.6827564,-1.0834541,-1.6175632,0.597002,-1.0275173,-0.16131592,-0.48415565,-2.5238972,-2.1194916,-0.8713417,-1.6164112,-0.7832451,-2.681715
