region,Country,Glacier,RGI_Glacier_Area,Longitude,Latitude,Date,Date_Min,Date_Max,year
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2015-05-29 00:00:00,2015-07-06 00:00:00,2015
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2015-10-06 00:00:00,2015-10-25 00:00:00,2015
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2016-05-13 00:00:00,2016-07-11 00:00:00,2016
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2017-08-09 00:00:00,2017-09-05 00:00:00,2017
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2018-07-03 00:00:00,2018-07-13 00:00:00,2018
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2018-05-19 00:00:00,2018-06-01 00:00:00,2018
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.47,58.76,,2019-06-21 00:00:00,2019-06-26 00:00:00,2019
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2020-05-29 00:00:00,2020-06-05 00:00:00,2020
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2022-06-17 00:00:00,2022-06-24 00:00:00,2022
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2022-07-04 00:00:00,2022-07-27 00:00:00,2022
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2023-06-23 00:00:00,2023-07-06 00:00:00,2023
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2023-09-19 00:00:00,2023-10-21 00:00:00,2023
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2024-06-17 00:00:00,2024-06-27 00:00:00,2024
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2025-04-26 00:00:00,2025-05-18 00:00:00,2025
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.466693792,58.7631435522,,2025-10-19 00:00:00,2025-11-12 00:00:00,2025
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2011-07-19,,,2011
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2011-08-19,,,2011
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2012-07-02,,,2012
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2014-07-09,,,2014
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2014-08-11,,,2014
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-05-31,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-06-25,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-07-02,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-07-08,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-07-13,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-07-20,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-08-10,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-08-18,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-08-22,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2015-09-14,,,2015
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2016-06-29,,,2016
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2016-07-23,,,2016
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2017-05-30,,,2017
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2017-06-13,,,2017
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2017-06-26,,,2017
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2017-07-04,,,2017
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2017-07-15,,,2017
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2018-07-17,,,2018
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2018-08-07,,,2018
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2018-08-13,,,2018
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2018-08-24,,,2018
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2018-08-29,,,2018
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2019-07-13,,,2019
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2020-07-30,,,2020
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2020-08-20,,,2020
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2020-09-04,,,2020
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2020-10-11,,,2020
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2021-06-23,,,2021
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2023-08-03,,,2023
RGI60_01_Alaska,USA,Mendenhall Glacier,109.359,-134.495745,58.45869,2023-08-18,,,2023
RGI60_01_Alaska,USA,Lemon Creek Glacier,9.528,-134.348,58.39,1967,,,1967
RGI60_01_Alaska,USA,Norris Glacier,173.209,-134.172051223,58.4904562886,,2003-08-06 00:00:00,2003-10-01 00:00:00,2003
RGI60_01_Alaska,USA,Norris Glacier,173.209,-134.172051223,58.4904562886,,2006-07-29 00:00:00,2006-09-15 00:00:00,2006
RGI60_01_Alaska,USA,Norris Glacier,173.209,-134.172051223,58.4904562886,,2015-08-15 00:00:00,2015-10-02 00:00:00,2015
RGI60_01_Alaska,USA,Norris Glacier,173.209,-134.172051223,58.4904562886,,2016-07-18 00:00:00,2016-09-28 00:00:00,2016
RGI60_01_Alaska,USA,Norris Glacier,173.209,-134.172051223,58.4904562886,,2017-08-04 00:00:00,2017-09-05 00:00:00,2017
RGI60_01_Alaska,USA,Norris Glacier,173.209,-134.172051223,58.4904562886,,2019-07-01 00:00:00,2019-07-23 00:00:00,2019
RGI60_01_Alaska,USA,Norris Glacier,173.209,-134.172051223,58.4904562886,,2020-07-30 00:00:00,2020-09-05 00:00:00,2020
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,1992-06-27 00:00:00,1992-08-30 00:00:00,1992
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,1993-06-14 00:00:00,1993-07-16 00:00:00,1993
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,1994-07-12 00:00:00,1994-08-13 00:00:00,1994
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,1995-09-17 00:00:00,1995-09-24 00:00:00,1995
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,1997-07-04 00:00:00,1997-09-06 00:00:00,1997
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,1998-06-28 00:00:00,1998-07-30 00:00:00,1998
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,1999-08-03 00:00:00,1999-09-28 00:00:00,1999
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2001-06-21 00:00:00,2001-08-15 00:00:00,2001
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2002-08-02 00:00:00,2003-07-12 00:00:00,2002
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2003-05-17 00:00:00,2003-07-12 00:00:00,2003
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2004-08-23 00:00:00,2004-09-07 00:00:00,2004
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2005-08-11 00:00:00,2005-09-11 00:00:00,2005
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2006-07-29 00:00:00,2006-09-14 00:00:00,2006
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2007-08-08 00:00:00,2007-09-02 00:00:00,2007
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2009-07-28 00:00:00,2009-09-05 00:00:00,2009
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2010-07-08 00:00:00,2010-07-27 00:00:00,2010
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2011-07-13 00:00:00,2011-08-13 00:00:00,2011
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2012-08-04 00:00:00,2012-08-13 00:00:00,2012
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2013-07-16 00:00:00,2013-08-31 00:00:00,2013
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2014-07-31 00:00:00,2014-08-20 00:00:00,2014
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2015-07-21 00:00:00,2015-08-13 00:00:00,2015
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2016-07-16 00:00:00,2016-08-01 00:00:00,2016
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2017-06-18 00:00:00,2017-08-04 00:00:00,2017
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2018-07-06 00:00:00,2018-07-13 00:00:00,2018
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2019-07-21 00:00:00,2019-07-31 00:00:00,2019
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2020-07-02 00:00:00,2020-07-30 00:00:00,2020
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2021-07-19 00:00:00,2021-07-29 00:00:00,2021
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2022-07-06 00:00:00,2022-07-27 00:00:00,2022
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2023-07-15 00:00:00,2023-07-24 00:00:00,2023
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2024-07-18 00:00:00,2024-08-03 00:00:00,2024
RGI60_01_Alaska,USA,Field Glacier,129.91,-134.562283986,58.9969220757,,2025-07-20 00:00:00,2025-07-27 00:00:00,2025
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,,1983-07-22 00:00:00,1983-09-08 00:00:00,1983
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,,1984-08-17 00:00:00,1984-09-25 00:00:00,1984
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,,1985-07-18 00:00:00,1985-07-27 00:00:00,1985
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1986,1986-08-14 00:00:00,1986-09-15 00:00:00,1986
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1987-08-25,,,1987
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1988-07-31,,,1988
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1989-08-15,,,1989
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,,1990-07-17 00:00:00,1990-07-24 00:00:00,1990
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1991-08-13,,,1991
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1991-08-30,,,1991
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1992-08-18,,,1992
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1993-07-25,,,1993
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1994-07-28,,,1994
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1995-07-24,,,1995
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1995-10-23,,,1995
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1996-09-16,,,1996
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1997-07-24,,,1997
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1997-09-23,,,1997
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1998-07-30,,,1998
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,1999-08-17,,,1999
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2000-07-23,,,2000
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2000-10-05,,,2000
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2001-08-07,,,2001
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2001-10-07,,,2001
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2002-08-13,,,2002
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2003-08-01,,,2003
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2003-08-12,,,2003
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2004-06-23,,,2004
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2005-08-11,,,2005
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2006-08-08,,,2006
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2007-07-20,,,2007
